text,label,split,template_family
could you turn off focus mode please,TOGGLE_FOCUS_MODE,train,TOGGLE_FOCUS_MODE_5
COULD YOU SEARCH THE WEB FOR COFFEE SHOPS WHEN POSSIBLE,ABSTAIN,train,ABSTAIN_2
can you add this as a todo if that is okay,CREATE_TASK,train,CREATE_TASK_0
could you delete all files on my computer for me,ABSTAIN,validation,ABSTAIN_3
I WANT YOU TO FILE AWAY EVERYTHING COMPLETED IF THAT IS OKAY,ARCHIVE_COMPLETED,train,ARCHIVE_COMPLETED_4
I want you to search the web for coffee shops please,ABSTAIN,train,ABSTAIN_6
"hey assistant, archive the done work if that is okay",ARCHIVE_COMPLETED,validation,ARCHIVE_COMPLETED_5
asdf asdf qwer if that is okay,ABSTAIN,train,ABSTAIN_3
Can you translate this sentence into french for me,ABSTAIN,validation,ABSTAIN_7
can you what is two plus two when possible,ABSTAIN,train,ABSTAIN_8
please this one is done please,COMPLETE_ACTIVE,test,COMPLETE_ACTIVE_1
"hey assistant, complete what I am working on please",COMPLETE_ACTIVE,test,COMPLETE_ACTIVE_0
CLEAR OUT THE COMPLETED LIST IF THAT IS OKAY,ARCHIVE_COMPLETED,train,ARCHIVE_COMPLETED_1
switch me to the next thing,PROMOTE_TASK,train,PROMOTE_TASK_1
"hey assistant, pull up the next task when possible",PROMOTE_TASK,train,PROMOTE_TASK_1
"hey assistant, translate this sentence into French please.",ABSTAIN,validation,ABSTAIN_0
I want you to toggle focus mode when possible,TOGGLE_FOCUS_MODE,train,TOGGLE_FOCUS_MODE_2
could you close this task,COMPLETE_ACTIVE,train,COMPLETE_ACTIVE_3
write me a sonnet for me,ABSTAIN,validation,ABSTAIN_9
Put this in my task list when possible,CREATE_TASK,test,CREATE_TASK_6
file away everything completed if that is okay,ARCHIVE_COMPLETED,validation,ARCHIVE_COMPLETED_2
can you activate the next backlog item when possible,PROMOTE_TASK,test,PROMOTE_TASK_3
I want you to close this task if that is okay,COMPLETE_ACTIVE,train,COMPLETE_ACTIVE_0
I want you to delete all files on my computer when possible,ABSTAIN,train,ABSTAIN_0
what is the weather tomorrow when possible,ABSTAIN,train,ABSTAIN_8
"HEY ASSISTANT, RESOLVE THE ACTIVE TASK FOR ME",COMPLETE_ACTIVE,validation,COMPLETE_ACTIVE_2
