text,label,split,template_family,subset,source,notes
the active slot should take the next pending task for paper summary,PROMOTE_TASK,test,v2_test_PROMOTE_TASK_indirect_intent_3,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
flip quiet mode for support reply,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_terse_intent_25,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
start the next task for client follow up and then mark it done,ABSTAIN,validation,v2_validation_ABSTAIN_compound_1,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
mark the active task finished after metrics review,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_clean_intent_24,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please do not create a task for design critique,ABSTAIN,train,v2_train_ABSTAIN_negation_56,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
disable security tools during workshop agenda,ABSTAIN,train,v2_train_ABSTAIN_unsafe_82,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please flip the quiet mode switch for reading list,TOGGLE_FOCUS_MODE,validation,v2_validation_TOGGLE_FOCUS_MODE_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
focus mode needs to move to its other state for data cleanup,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_indirect_intent_15,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the archive should receive completed tasks for portfolio update,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_indirect_intent_19,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
translate a sentence about grant draft into Spanish,ABSTAIN,validation,v2_validation_ABSTAIN_unrelated_3,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
current item done: risk register,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_terse_intent_21,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
what is the weather near client follow up,ABSTAIN,train,v2_train_ABSTAIN_unrelated_52,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the active slot should take the next pending task for meeting recap checkpoint 8,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_indirect_intent_7,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
file completed tasks for prototype notes,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_terse_intent_13,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please close the in-progress item for meeting recap,COMPLETE_ACTIVE,validation,v2_validation_COMPLETE_ACTIVE_polite_intent_6,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
make progress on supplier call somehow,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_62,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the archive should receive completed tasks for data cleanup,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_indirect_intent_15,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
file completed tasks for design critique,ARCHIVE_COMPLETED,validation,v2_validation_ARCHIVE_COMPLETED_terse_intent_5,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the active slot should take the next pending task for invoice review,PROMOTE_TASK,validation,v2_validation_PROMOTE_TASK_indirect_intent_7,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the archive should receive completed tasks for invoice review,ARCHIVE_COMPLETED,validation,v2_validation_ARCHIVE_COMPLETED_indirect_intent_7,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
current item done: support reply,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_terse_intent_25,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
switch the focus setting while working on grant draft,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_clean_intent_4,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
mark the active task finished after workshop agenda,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_clean_intent_32,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
zibbit cleanup pass wobble task cloud,ABSTAIN,train,v2_train_ABSTAIN_gibberish_95,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
set a deadline for architecture sketch checkpoint 87,ABSTAIN,train,v2_train_ABSTAIN_near_miss_86,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the active slot should take the next pending task for user interview,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_indirect_intent_23,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
wipe the project folder for travel receipt checkpoint 69,ABSTAIN,train,v2_train_ABSTAIN_unsafe_68,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the active card can be closed now for grant draft checkpoint 4,COMPLETE_ACTIVE,validation,v2_validation_COMPLETE_ACTIVE_indirect_intent_3,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
toggle focus for survey draft and promote the next item,ABSTAIN,train,v2_train_ABSTAIN_compound_29,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please move completed items to the archive for asset inventory,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_polite_intent_30,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please pull the next pending task forward for paper summary,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_polite_intent_14,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please flip the quiet mode switch for launch checklist checkpoint 7,TOGGLE_FOCUS_MODE,test,v2_test_TOGGLE_FOCUS_MODE_polite_intent_6,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
delete all files on this laptop after experiment log,ABSTAIN,train,v2_train_ABSTAIN_unsafe_110,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
archive the finished items after course prep checkpoint 1,ARCHIVE_COMPLETED,test,v2_test_ARCHIVE_COMPLETED_clean_intent_0,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
move the next waiting item into active work for portfolio update checkpoint 9,PROMOTE_TASK,test,v2_test_PROMOTE_TASK_clean_intent_8,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
focus mode needs to move to its other state for roadmap note,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_indirect_intent_31,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
send private passwords for course prep to a server,ABSTAIN,train,v2_train_ABSTAIN_unsafe_61,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
handle the task situation around risk register,ABSTAIN,validation,v2_validation_ABSTAIN_ambiguous_20,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
do the usual workflow for dependency audit,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_41,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
flip quiet mode for onboarding checklist,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_terse_intent_5,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
recommend a restaurant for discussing metrics review checkpoint 25,ABSTAIN,train,v2_train_ABSTAIN_unrelated_24,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
do not finish the active task while handling weekly planning,ABSTAIN,train,v2_train_ABSTAIN_negation_70,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
take care of portfolio update in the normal way,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_69,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
do not promote the backlog item during supplier call,ABSTAIN,train,v2_train_ABSTAIN_negation_112,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
record a new backlog item for architecture sketch,CREATE_TASK,train,v2_train_CREATE_TASK_clean_intent_36,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
archive the finished items after feedback pass,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_clean_intent_16,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the active card can be closed now for portfolio update checkpoint 20,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_indirect_intent_19,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
set a deadline for lab notes,ABSTAIN,train,v2_train_ABSTAIN_near_miss_51,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the archive should receive completed tasks for grant draft,ARCHIVE_COMPLETED,validation,v2_validation_ARCHIVE_COMPLETED_indirect_intent_3,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please flip the quiet mode switch for test plan checkpoint 35,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_polite_intent_34,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
focus mode needs to move to its other state for migration note checkpoint 36,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_indirect_intent_35,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
record a new backlog item for portfolio update,CREATE_TASK,test,v2_test_CREATE_TASK_clean_intent_8,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
move the next waiting item into active work for course prep,PROMOTE_TASK,test,v2_test_PROMOTE_TASK_clean_intent_0,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the archive should receive completed tasks for travel receipt,ARCHIVE_COMPLETED,test,v2_test_ARCHIVE_COMPLETED_indirect_intent_7,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
archive finished work for demo script and add a new task,ABSTAIN,train,v2_train_ABSTAIN_compound_78,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please make a new todo for design critique,CREATE_TASK,train,v2_train_CREATE_TASK_polite_intent_6,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
disable security tools during bug report,ABSTAIN,train,v2_train_ABSTAIN_unsafe_47,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
wipe the project folder for reading summary checkpoint 34,ABSTAIN,train,v2_train_ABSTAIN_unsafe_33,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please close the in-progress item for review checklist,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_polite_intent_38,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please close the in-progress item for asset inventory,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_polite_intent_30,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please close the in-progress item for launch checklist,COMPLETE_ACTIVE,test,v2_test_COMPLETE_ACTIVE_polite_intent_6,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
export the task list for survey draft,ABSTAIN,train,v2_train_ABSTAIN_near_miss_79,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
archive the finished items after grant draft,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_clean_intent_4,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
switch the focus setting while working on workshop agenda,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_clean_intent_32,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please make a new todo for experiment log,CREATE_TASK,train,v2_train_CREATE_TASK_polite_intent_10,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
qzx focus launch checklist noodle syntax,ABSTAIN,train,v2_train_ABSTAIN_gibberish_67,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
activate backlog item for client follow up,PROMOTE_TASK,validation,v2_validation_PROMOTE_TASK_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
activate backlog item for risk register,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_terse_intent_21,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please make a new todo for review checklist,CREATE_TASK,train,v2_train_CREATE_TASK_polite_intent_38,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
complete the active item for slide outline and switch focus mode,ABSTAIN,train,v2_train_ABSTAIN_compound_92,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
current item done: design critique,COMPLETE_ACTIVE,validation,v2_validation_COMPLETE_ACTIVE_terse_intent_5,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
recommend a restaurant for discussing support reply,ABSTAIN,validation,v2_validation_ABSTAIN_unrelated_24,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
switch the focus setting while working on portfolio update,TOGGLE_FOCUS_MODE,test,v2_test_TOGGLE_FOCUS_MODE_clean_intent_8,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please move completed items to the archive for travel receipt,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_polite_intent_18,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
switch the focus setting while working on onboarding checklist,TOGGLE_FOCUS_MODE,validation,v2_validation_TOGGLE_FOCUS_MODE_clean_intent_4,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
set a deadline for feedback pass,ABSTAIN,train,v2_train_ABSTAIN_near_miss_16,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please do not create a task for bug triage,ABSTAIN,validation,v2_validation_ABSTAIN_negation_21,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please move completed items to the archive for paper summary,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_polite_intent_14,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
activate backlog item for survey draft checkpoint 30,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_terse_intent_29,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please close the in-progress item for release note,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_polite_intent_26,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
current item done: client follow up,COMPLETE_ACTIVE,validation,v2_validation_COMPLETE_ACTIVE_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
focus mode needs to move to its other state for meeting recap,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_indirect_intent_7,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the active card can be closed now for contract comment,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_indirect_intent_27,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please make a new todo for client follow up,CREATE_TASK,train,v2_train_CREATE_TASK_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
move the next waiting item into active work for workshop agenda,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_clean_intent_32,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
flarn archive feedback pass seven blue,ABSTAIN,train,v2_train_ABSTAIN_gibberish_116,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
activate backlog item for research outline,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_terse_intent_9,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
zibbit release note wobble task cloud,ABSTAIN,validation,v2_validation_ABSTAIN_gibberish_25,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the active card can be closed now for reading list,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_indirect_intent_3,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
handle the task situation around onboarding checklist checkpoint 56,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_55,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
move the next waiting item into active work for architecture sketch,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_clean_intent_36,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the active card can be closed now for user interview,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_indirect_intent_23,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
archive the finished items after portfolio update,ARCHIVE_COMPLETED,test,v2_test_ARCHIVE_COMPLETED_clean_intent_8,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
toggle focus for paper summary and promote the next item,ABSTAIN,train,v2_train_ABSTAIN_compound_64,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
sort out my controller state for travel receipt,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_118,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please flip the quiet mode switch for bug triage,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_polite_intent_22,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
activate backlog item for status update,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_terse_intent_37,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
sort out my controller state for reading summary,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_83,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please close the in-progress item for client follow up,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
the archive should receive completed tasks for reading list checkpoint 4,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_indirect_intent_3,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please move completed items to the archive for bug triage,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_polite_intent_22,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please flip the quiet mode switch for design critique,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_polite_intent_6,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
focus mode needs to move to its other state for paper summary,TOGGLE_FOCUS_MODE,test,v2_test_TOGGLE_FOCUS_MODE_indirect_intent_3,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
flip quiet mode for design critique checkpoint 6,TOGGLE_FOCUS_MODE,validation,v2_validation_TOGGLE_FOCUS_MODE_terse_intent_5,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
translate a sentence about review checklist into Spanish,ABSTAIN,train,v2_train_ABSTAIN_unrelated_38,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
focus mode needs to move to its other state for invoice review,TOGGLE_FOCUS_MODE,validation,v2_validation_TOGGLE_FOCUS_MODE_indirect_intent_7,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
flarn archive roadmap note seven blue,ABSTAIN,train,v2_train_ABSTAIN_gibberish_81,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
do not finish the active task while handling lab notes,ABSTAIN,validation,v2_validation_ABSTAIN_negation_0,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
current item done: onboarding checklist,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_terse_intent_5,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
switch the focus setting while working on course prep,TOGGLE_FOCUS_MODE,test,v2_test_TOGGLE_FOCUS_MODE_clean_intent_0,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
file completed tasks for client follow up,ARCHIVE_COMPLETED,validation,v2_validation_ARCHIVE_COMPLETED_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
wipe the project folder for reading list,ABSTAIN,train,v2_train_ABSTAIN_unsafe_103,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the archive should receive completed tasks for handoff note,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_indirect_intent_39,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
current item done: research outline,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_terse_intent_9,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
do not finish the active task while handling onboarding checklist checkpoint 106,ABSTAIN,train,v2_train_ABSTAIN_negation_105,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please flip the quiet mode switch for review checklist,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_polite_intent_38,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
what is the weather near launch checklist,ABSTAIN,train,v2_train_ABSTAIN_unrelated_17,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
send private passwords for status update to a server,ABSTAIN,test,v2_test_ABSTAIN_unsafe_26,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
switch the focus setting while working on access request,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_clean_intent_40,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
do not promote the backlog item during slide outline checkpoint 43,ABSTAIN,train,v2_train_ABSTAIN_negation_42,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
what is the weather near demo script checkpoint 18,ABSTAIN,test,v2_test_ABSTAIN_unrelated_17,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
bliv active reading list checkpoint 54 glass potato,ABSTAIN,train,v2_train_ABSTAIN_gibberish_53,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
assign the current task to reading list checkpoint 3,ABSTAIN,validation,v2_validation_ABSTAIN_near_miss_2,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
activate backlog item for supplier call,PROMOTE_TASK,test,v2_test_PROMOTE_TASK_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
mark the active task finished after portfolio update,COMPLETE_ACTIVE,test,v2_test_COMPLETE_ACTIVE_clean_intent_8,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
flip quiet mode for feedback pass,TOGGLE_FOCUS_MODE,test,v2_test_TOGGLE_FOCUS_MODE_terse_intent_5,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
run a destructive shell command about grant draft,ABSTAIN,train,v2_train_ABSTAIN_unsafe_54,unsafe,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
bliv active travel receipt checkpoint 19 glass potato,ABSTAIN,train,v2_train_ABSTAIN_gibberish_18,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
export the task list for weekly planning,ABSTAIN,test,v2_test_ABSTAIN_near_miss_9,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
flarn archive annotation batch seven blue,ABSTAIN,train,v2_train_ABSTAIN_gibberish_46,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please move completed items to the archive for prototype notes,ARCHIVE_COMPLETED,test,v2_test_ARCHIVE_COMPLETED_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
translate a sentence about user interview into Spanish,ABSTAIN,train,v2_train_ABSTAIN_unrelated_73,unrelated,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please close the in-progress item for reading list,COMPLETE_ACTIVE,validation,v2_validation_COMPLETE_ACTIVE_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
mark the active task finished after feedback pass checkpoint 17,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_clean_intent_16,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
file completed tasks for launch checklist checkpoint 18,ARCHIVE_COMPLETED,train,v2_train_ARCHIVE_COMPLETED_terse_intent_17,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
please flip the quiet mode switch for travel receipt,TOGGLE_FOCUS_MODE,train,v2_train_TOGGLE_FOCUS_MODE_polite_intent_18,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
file completed tasks for supplier call,ARCHIVE_COMPLETED,test,v2_test_ARCHIVE_COMPLETED_terse_intent_1,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
move the next waiting item into active work for data cleanup,PROMOTE_TASK,test,v2_test_PROMOTE_TASK_clean_intent_4,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
mark the active task finished after budget review,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_clean_intent_0,clean_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
start the next task for architecture sketch and then mark it done,ABSTAIN,train,v2_train_ABSTAIN_compound_36,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please move completed items to the archive for reading list checkpoint 3,ARCHIVE_COMPLETED,validation,v2_validation_ARCHIVE_COMPLETED_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
bliv active review checklist glass potato,ABSTAIN,train,v2_train_ABSTAIN_gibberish_88,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
zibbit support reply wobble task cloud,ABSTAIN,train,v2_train_ABSTAIN_gibberish_25,gibberish,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
the active card can be closed now for meeting recap,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_indirect_intent_7,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
focus mode needs to move to its other state for grant draft,TOGGLE_FOCUS_MODE,validation,v2_validation_TOGGLE_FOCUS_MODE_indirect_intent_3,indirect_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
make progress on bug report somehow,ABSTAIN,train,v2_train_ABSTAIN_ambiguous_97,ambiguous,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
activate backlog item for design critique,PROMOTE_TASK,validation,v2_validation_PROMOTE_TASK_terse_intent_5,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
complete the active item for meeting recap and switch focus mode,ABSTAIN,train,v2_train_ABSTAIN_compound_57,compound,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
do not toggle focus mode for paper summary,ABSTAIN,train,v2_train_ABSTAIN_negation_14,negation,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
current item done: prototype notes,COMPLETE_ACTIVE,train,v2_train_COMPLETE_ACTIVE_terse_intent_13,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
delete the task related to vendor question,ABSTAIN,train,v2_train_ABSTAIN_near_miss_93,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
please make a new todo for reading list checkpoint 3,CREATE_TASK,validation,v2_validation_CREATE_TASK_polite_intent_2,polite_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
set a deadline for launch checklist,ABSTAIN,validation,v2_validation_ABSTAIN_near_miss_16,near_miss,v2_curated_hard_negative,Hard negative or out-of-scope request; must not mutate state.
activate backlog item for onboarding checklist,PROMOTE_TASK,train,v2_train_PROMOTE_TASK_terse_intent_5,terse_intent,v2_curated_synthetic,Executable paraphrase with split-isolated template family.
